"Tabela 6588 - Série histórica da estimativa anual da área plantada, área colhida, produção e rendimento médio dos produtos das lavouras"
"Variável - Produção (Toneladas)"
"Mês","Unidade da Federação x Produto das lavouras"
"Mês","Rondônia","Acre","Amazonas","Roraima","Pará","Amapá","Tocantins","Maranhão","Piauí","Ceará","Rio Grande do Norte","Paraíba","Pernambuco","Alagoas","Sergipe","Bahia","Minas Gerais","Espírito Santo","Rio de Janeiro","São Paulo","Paraná","Santa Catarina","Rio Grande do Sul","Mato Grosso do Sul","Mato Grosso","Goiás","Distrito Federal"
"Mês","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar","11 Cana-de-açúcar"
"setembro 2006","-","-","230194","-","620001","-","197951","2296764","679947","1635808","3390635","5848530","18875789","23991396","1955608","5786980","31528004","4214552","7397150","266071407","34460715","669413","1188412","12117730","13219080","18915324","-"
"outubro 2006","-","-","230194","-","620001","-","197951","2296764","679947","1594638","3390635","5848530","18878783","23991396","1955608","6147954","32028323","4204732","7397150","266071407","34460715","669413","1166717","12023311","13219080","18915324","-"
"novembro 2006","-","-","194427","-","620001","-","197951","2296764","640707","1594638","3391035","5848530","19045216","23991396","1955608","6147954","32028323","4204732","6836120","266071407","35072193","669413","1166717","12023311","13219080","18915324","-"
"dezembro 2006","-","-","143402","-","618316","-","197951","2296764","640707","1617003","3391076","6059030","19045216","24720000","1955608","6141719","32042723","4206342","6836120","266071407","35072193","660333","1166717","12473728","13578279","19049550","-"
"janeiro 2007","-","-","233391","-","625752","-","203148","2443893","636493","2290097","3388829","5865135","18866525","24000000","2331180","5580176","30004140","4477582","7302194","280113978","43492407","662000","1301343","16000000","15579246","18425394","-"
"fevereiro 2007","-","-","349847","-","625752","-","203070","2443893","636493","2290097","3388829","5749565","18866525","24000000","2331180","5580176","36137055","4477582","7302194","280113978","43492407","662000","1302083","16000000","15579246","18425394","-"
"março 2007","-","-","349847","-","625752","-","203070","2443893","636493","2290097","3388829","6175025","18866525","24000000","2331180","6105932","36536525","4585122","7352661","280113978","43492407","662000","1310250","16000000","15579246","18425394","-"
"abril 2007","-","-","349847","-","625752","-","203070","2443893","636493","2277723","3251905","6175025","18866525","24000000","2285707","6260479","38808785","4585122","7387601","295477005","46382400","662000","1310250","17128965","15579246","18425394","-"
"maio 2007","-","-","349767","-","615296","-","203070","2443893","636493","2273583","3251905","6175025","18866525","24000000","2285707","6260479","38872240","4585122","7387601","295477005","46382400","676423","1388535","17128965","15601281","18425394","-"
"junho 2007","-","-","348547","-","615296","-","203070","2443893","784200","2267508","3435720","6193475","18866525","24000000","2285707","6260479","38922069","4437612","7387601","295477005","46586722","676423","1388835","16512880","15601281","18425394","-"
"julho 2007","-","-","350014","-","615296","-","203070","2412743","784200","2266806","3838536","6193439","18866525","24000000","2285707","6229734","38922069","4437612","7387601","295477005","46586722","676423","1388835","16912240","15601281","18425394","-"
"agosto 2007","-","-","350194","-","792005","-","203070","2412743","784200","2265125","3838698","6193439","18866525","24000000","2285707","6229734","38956524","4437612","7387601","295477005","46611074","676423","1388835","16879068","15601281","18425394","-"
"setembro 2007","-","-","349977","-","792005","-","203070","2412743","783652","2265116","3838698","6193439","18866525","24000000","2285707","6229734","38992404","4437612","7387601","295477005","46389697","676423","1408575","16879068","15875313","18425394","-"
"outubro 2007","-","-","349977","-","792005","-","203070","2412743","783652","2265076","3838626","6193439","18866525","25000000","2285707","6229734","38989464","4437562","7387601","295477005","46389697","676423","1429238","16566539","15875313","18425394","-"
"novembro 2007","-","-","349977","-","676964","-","203070","2412743","783652","2251239","3838626","6193439","18866525","24920000","2285707","6292396","38324890","4437562","7387601","295477005","46389697","692152","1429238","16566539","15875313","18425394","-"
"dezembro 2007","-","-","318021","-","676964","-","203070","2412743","779482","2251239","3836626","6222223","19864635","24920000","2401966","6275410","38886914","4436412","6980426","295477005","46828573","692152","1426978","16133857","15875313","18425394","-"
"janeiro 2008","-","-","316627","-","978180","-","336136","2503566","745501","2366515","3778274","7193668","19085747","23866667","2857500","6299588","39511008","4652092","7377256","309514912","52928027","655585","1504447","22100000","16074934","24960000","-"
"fevereiro 2008","-","-","318887","-","978180","-","336136","2503566","745501","2366515","3778274","7193668","19085747","24500000","2857500","5882900","39942717","4652092","7372256","309514912","52928027","655585","1504447","22100000","15801129","24960000","-"
"março 2008","-","-","318891","-","574660","-","379321","2883399","743709","2366515","3835903","6228775","19085747","24500000","2857500","6133558","45459371","5179990","6556686","309514912","52928027","729029","1510737","22100000","15801129","27093894","-"
"abril 2008","-","-","318491","-","574660","-","379321","2883399","743709","2366515","3835903","6416775","19692689","24500000","2857500","6133558","44884387","5180215","6563387","309514912","53994570","729029","1510737","22100000","15701638","27093894","-"
"maio 2008","-","-","318491","-","574660","-","381095","2883852","801383","2366515","3835903","6416775","19692689","24500000","2513745","6133558","45225880","5180215","6565861","337148240","53994570","738925","1449072","22100000","15701638","27093894","-"
"junho 2008","-","-","318491","-","574660","-","381095","2884432","801383","2366515","3835903","6416775","19868663","24500000","2513745","6219690","45893190","5180215","6566485","337148240","54270921","738925","1450872","22100000","15701638","28293520","-"
"julho 2008","-","-","313302","-","574660","-","381571","2835432","801383","2366515","4113299","6416775","20307293","24500000","2513745","6219690","45969550","5180215","6685240","337148240","54270921","738925","1420898","22100000","16377777","28293520","-"
"agosto 2008","-","-","313302","-","574660","-","381571","2835432","802895","2366515","4113299","6315620","20307293","24500000","2513745","6219690","45992300","5172165","6582623","337148240","55571459","740242","1420898","22100000","16377777","29082040","-"
"setembro 2008","-","-","313302","-","574660","-","381571","2835432","802895","2366515","4113299","6315620","20307293","25781189","2355687","6154815","46001790","5172165","6582623","367191190","55659175","740242","1421498","22100000","16849779","29082040","-"
"outubro 2008","-","-","313302","-","574660","-","381571","2835432","802895","2243317","4113299","6315620","20305718","25939944","2355687","6154815","46030964","5172165","6582623","387507473","55659175","756803","1394973","22280057","16849779","29082040","-"
"novembro 2008","-","-","313302","-","574660","-","381571","2835432","778084","2289496","4113299","6315620","20305718","28407977","2355687","6154815","47762234","5171245","6582623","387507473","55659175","756803","1394973","22280057","16849779","32713977","-"
"dezembro 2008","-","-","313302","-","574660","-","381571","3012018","778084","2270816","4113299","6297179","20305558","28900000","2429603","6180785","48043716","5176445","6582623","387507473","55605943","756803","1428473","22959692","16849779","32713977","-"
"janeiro 2009","-","-","360728","-","556624","-","460821","2917700","860955","2329529","4053153","6345758","19596181","25190500","2658600","6005900","51678421","5298595","6517513","382235600","56834393","763601","1503902","32560000","16238315","32428630","-"
"fevereiro 2009","-","-","360728","-","556624","-","460821","2917700","860955","2329529","4053153","6302604","19475673","25190500","2658600","5856659","53511815","5250075","6519471","382235600","56834393","763601","1503902","34349949","16238315","32428630","-"
"março 2009","-","-","360728","-","574387","-","685134","2892399","841774","2336823","4106199","6302604","19741625","27000000","2658600","5891990","53233575","5250075","6509311","382235600","56834393","760868","1433915","34349949","15943515","44715881","-"
"abril 2009","-","-","360728","-","574387","-","685134","2894680","841774","2336823","4106199","6302604","19741675","27000000","2658600","5891990","53694039","5250075","6509311","382235600","53697178","760868","1433915","33735520","15943515","44715881","-"
